YEAR,metANN
1880,8.19
1881,7.00
1882,9.26
1883,8.11
1884,8.80
1885,7.78
1886,8.10
1887, 7.82
1888,6.68
1889,8.29
1890,8.41
1891,7.64
1892,8.03
1893,7.43
1894,8.80
1895,7.96
1896,8.75
1897,8.22
1898,8.43
1899,9.14
1900,7.84
1901,8.48
1902,7.10
1903,8.20
1904,8.08
1905,8.15
1906,9.15
1907,7.62
1908,8.10
1909,7.11
1910,8.84
1911,9.13
1912,7.78
1913, 8.99
1914,9.21
1915,7.73
1916,8.13
1917,8.00
1918,8.16
1919,7.70
1920,8.45
1921,9.01
1922,6.98
1923,7.79
1924,7.12
1925,9.03
1926,8.49
1927,8.48
1928,7.84
1929, 7.40
1930,9.16
1931,7.77
1932,8.88
1933,8.91
1934,9.58
1935,9.12
1936,8.53
1937,8.93
1938,9.54
1939,9.00
1940,6.78
1941,6.81
1942,6.46
1943,9.29
1944,8.70
1945,9.16
1946,8.42
1947,7.93
1948,8.96
1949,9.62
1950,9.15
1951,8.50
1952,8.03
1953,9.05
1954,7.83
1955,8.14
1956, 7.10
1957,8.76
1958,7.90
1959,9.59
1960,8.43
1961, 9.46
1962,7.77
1963,7.47
1964,8.00
1965,7.69
1966,7.81
1967,9.13
1968,8.72
1969,8.36
1970,7.38
1971,8.62
1972,8.64
1973,9.18
1974,8.92
1975,9.81
1976,8.78
1977,8.43
1978,8.48
1979,7.21
1980,7.82
1981,8.42
1982, 8.34
1983,9.34
1984,8.74
1985,7.22
1986,7.83
1987,7.10
1988,9.06
1989,9.93
1990,10.00
1991,8.83
1992,9.68
1993,8.51
1994,9.34
1995,9.35
1996,7.34
1997,8.96
1998,8.96
1999,9.53
2000,9.90
2001,9.38
2002,9.79
2003,8.89
2004,9.20
2005, 9.44
2006,9.60
2007,10.33
2008,10.27
2009,9.76
2010,8.33
2011,9.09
2013,9.08
2015,9.75
2016,10.14


